name,date,water_depth,water_level
BB Upland Well 1,2018-10-22,-0.26996410711111124,0.5600358928888888
BB Upland Well 1,2018-10-23,-0.2626550515694447,0.5673449484305553
BB Upland Well 1,2018-10-24,-0.28913696752777773,0.5408630324722222
BB Upland Well 1,2018-10-25,-0.2876024305555555,0.5423975694444445
BB Upland Well 1,2018-10-26,-0.28051714690277785,0.5494828530972221
BB Upland Well 1,2018-10-27,-0.10225097115277793,0.727749028847222
BB Upland Well 1,2018-10-28,-0.12933126447222218,0.7006687355277778
BB Upland Well 1,2018-10-29,-0.16393305500000027,0.6660669449999996
BB Upland Well 1,2018-10-30,-0.19426264361111123,0.6357373563888887
BB Upland Well 1,2018-10-31,-0.2013072092777779,0.6286927907222221
BB Upland Well 1,2018-11-01,-0.20715024028472206,0.6228497597152779
BB Upland Well 1,2018-11-02,-0.2098597567083334,0.6201402432916665
BB Upland Well 1,2018-11-03,-0.12624377891666688,0.7037562210833331
BB Upland Well 1,2018-11-04,-0.16088026825000015,0.6691197317499998
BB Upland Well 1,2018-11-05,-0.11713321804166682,0.7128667819583331
BB Upland Well 1,2018-11-06,-0.0789202732500002,0.7510797267499998
BB Upland Well 1,2018-11-07,-0.10750961054166708,0.7224903894583329
BB Upland Well 1,2018-11-08,-0.12821311316666678,0.7017868868333331
BB Upland Well 1,2018-11-09,-0.12012439670833364,0.7098756032916663
BB Upland Well 1,2018-11-10,-0.09891846954166672,0.7310815304583332
BB Upland Well 1,2018-11-11,-0.13043737741666678,0.6995626225833331
BB Upland Well 1,2018-11-12,-0.13576435220833336,0.6942356477916666
BB Upland Well 1,2018-11-13,-0.07001684300000006,0.7599831569999999
