date,water_depth,water_level,water_level_gf,wetland,year,wateryear,inund,inund_gf,delta_1d,dir_1d,well_dry
2021-03-19,0.6381831847083334,0.6381831847083334,0.6381831847083334,JB,2021,2021,1,1,0.02312639983333309,1,0
2021-03-20,0.6297704947083332,0.6297704947083332,0.6297704947083332,JB,2021,2021,1,1,-0.008412690000000111,-1,0
2021-03-21,0.6258562569999999,0.6258562569999999,0.6258562569999999,JB,2021,2021,1,1,-0.0039142377083333235,-1,0
2021-03-22,0.6217412619166667,0.6217412619166667,0.6217412619166667,JB,2021,2021,1,1,-0.004114995083333239,-1,0
2021-03-23,0.6179746711666665,0.6179746711666665,0.6179746711666665,JB,2021,2021,1,1,-0.003766590750000187,-1,0
2021-03-24,0.6288559333333331,0.6288559333333331,0.6288559333333331,JB,2021,2021,1,1,0.010881262166666628,1,0
2021-03-25,0.6504708107083329,0.6504708107083329,0.6504708107083329,JB,2021,2021,1,1,0.021614877374999786,1,0
2021-03-26,0.6337038521666662,0.6337038521666662,0.6337038521666662,JB,2021,2021,1,1,-0.016766958541666654,-1,0
2021-03-27,0.6255290968333331,0.6255290968333331,0.6255290968333331,JB,2021,2021,1,1,-0.008174755333333117,-1,0
2021-03-28,0.6246464017083329,0.6246464017083329,0.6246464017083329,JB,2021,2021,1,1,-8.826951250002768e-4,-1,0
2021-03-29,0.6285234621249997,0.6285234621249997,0.6285234621249997,JB,2021,2021,1,1,0.0038770604166668,1,0
2021-03-30,0.623622432875,0.623622432875,0.623622432875,JB,2021,2021,1,1,-0.004901029249999689,-1,0
2021-03-31,0.6242162073333329,0.6242162073333329,0.6242162073333329,JB,2021,2021,1,1,5.93774458332974e-4,1,0
2021-04-01,0.6470106670624997,0.6470106670624997,0.6470106670624997,JB,2021,2021,1,1,0.022794459729166716,1,0
2021-04-02,0.6372643744999996,0.6372643744999996,0.6372643744999996,JB,2021,2021,1,1,-0.009746292562500036,-1,0
2021-04-03,0.6321360326666667,0.6321360326666667,0.6321360326666667,JB,2021,2021,1,1,-0.005128341833332883,-1,0
2021-04-04,0.6289164792083333,0.6289164792083333,0.6289164792083333,JB,2021,2021,1,1,-0.0032195534583334684,-1,0
2021-04-05,0.6248152928333331,0.6248152928333331,0.6248152928333331,JB,2021,2021,1,1,-0.004101186375000121,-1,0
2021-04-06,0.6214799586666663,0.6214799586666663,0.6214799586666663,JB,2021,2021,1,1,-0.00333533416666687,-1,0
2021-04-07,0.6188159401666662,0.6188159401666662,0.6188159401666662,JB,2021,2021,1,1,-0.002664018500000087,-1,0
